Index,City,Latitude,Longitude,Temperature(F),Humidity,Wind Speed (MPH),Cloudiness
486,Povenets,62.85,34.83,35.87,81,4.47,11
487,Puerto Carreno,6.19,-67.49,77,94,2.28,75
488,Dicabisagan,17.08,122.42,82.13,73,1.9,85
489,Mecca,21.43,39.83,84.11,46,6.13,0
490,Daru,7.99,-10.85,75.83,97,2.04,100
491,Bonavista,48.65,-53.11,33.01,86,1.01,100
492,Hobyo,5.35,48.53,82.13,78,13.04,55
493,Sitka,37.17,-99.65,55.99,86,11.01,53
494,Sankheda,22.21,73.58,80.6,78,9.17,0
495,Latung,-8.45,120.42,78.71,68,4.94,41
496,Pisco,-13.71,-76.2,69.8,77,18.34,0
497,Nantucket,41.28,-70.1,52,75,4.7,1
498,Pouembout,-21.12,164.9,81.23,73,10.25,2
499,Pak Phanang,8.35,100.2,78.8,94,4.56,40
500,Orapa,-21.28,25.37,66.65,43,9.04,0
501,Mutata,7.24,-76.44,72.77,99,2.42,100
502,Nueva Guinea,11.69,-84.46,79.97,76,8.16,100
503,Soderhamn,61.3,17.06,39.99,98,4.54,59
504,Pundaguitan,6.37,126.17,84.11,73,6.55,33
505,Foumbot,5.51,10.64,66.29,90,3.09,100
506,Pitimbu,-7.47,-34.81,77,94,3.36,40
507,Bauchi,10.31,9.85,90.95,39,3.94,100
508,Evensk,61.92,159.24,54.41,46,1.66,1
509,Doha,25.29,51.53,84.2,48,4.7,0
510,Dourbali,11.81,15.86,91.31,46,13.38,100
511,Orange Cove,36.62,-119.31,84.2,34,6.93,1
512,Basoko,1.23,23.61,70.25,96,1.34,95
513,Luderitz,-26.65,15.16,55.4,76,10.29,0
514,Kalmunai,7.42,81.82,74.75,77,3.47,55
515,Grafton,-29.69,152.93,64.99,48,3.36,40
516,Gat,14.69,-16.54,71.6,83,5.82,0
517,North Platte,41.12,-100.77,46.4,81,19.46,90
518,Luanda,-8.83,13.24,78.8,88,8.05,75
519,Zamora,41.51,-5.74,46.4,75,10.29,100
520,Rock Springs,41.59,-109.2,39.2,69,26.4,90
521,Tommot,58.97,126.27,44.51,51,6.49,0
522,Vredendal,-31.68,18.49,59.81,83,3.87,3
523,Aloleng,16.13,119.78,84.65,72,6.24,100
524,Coihaique,-45.58,-72.07,42.8,93,8.05,0
525,Presque Isle,46.68,-68.02,42.8,41,12.75,90
526,West Wendover,40.74,-114.07,53.87,38,14.03,100
527,Praia da Vitoria,38.73,-27.07,66.2,88,25.84,40
528,Lafia,8.5,8.51,84.47,65,5.82,100
529,Vila do Maio,15.13,-23.22,75.2,57,19.46,0
530,Ossora,59.24,163.07,51.53,39,1.61,41
531,Matadi,-5.83,13.46,77.09,94,3.06,100
532,Mount Lebanon,40.38,-80.05,73.4,43,7.2,1
533,Marapanim,-0.71,-47.7,82.67,81,12.41,80
534,Rock Sound,24.9,-76.2,79.07,80,12.77,0
535,Christchurch,-43.53,172.64,71.01,56,9.17,56
536,Rincon,32.3,-81.24,77,64,11.41,40
537,Gimbi,8.81,37.79,60.89,62,3.09,84
538,Krasnoshchekovo,51.67,82.73,63.41,49,3.71,91
539,Isla Mujeres,21.23,-86.73,82.4,74,12.75,40
